Industry,Experience_Level,Employee_Count
" Buyer","11 - 20 years",1
Academia,"2 - 4 years",2
Academia,"8 - 10 years",1
"Academia ","8 - 10 years",1
"Academia / Research","11 - 20 years",1
"Academia--cell and molecular biology","5-7 years",1
"Academic Medicine ","8 - 10 years",1
"Academic publishing","11 - 20 years",2
"Academic Publishing","8 - 10 years",1
"Academic research","11 - 20 years",2
"academic research","2 - 4 years",1
"Academic research","5-7 years",1
"Academic research","8 - 10 years",1
"Academic research (Psychology)","2 - 4 years",1
"Academic science","8 - 10 years",2
"Academic Science ","8 - 10 years",1
"Academic/nonprofit research","1 year or less",1
accessibility,"11 - 20 years",1
Accessibility,"8 - 10 years",1
"Accounting, Banking & Finance","1 year or less",29
"Accounting, Banking & Finance","11 - 20 years",487
"Accounting, Banking & Finance","2 - 4 years",161
"Accounting, Banking & Finance","21 - 30 years",218
"Accounting, Banking & Finance","31 - 40 years",61
"Accounting, Banking & Finance","41 years or more",6
"Accounting, Banking & Finance","5-7 years",252
"Accounting, Banking & Finance","8 - 10 years",292
Actuarial,"1 year or less",1
Administration,"5-7 years",1
"Administration ","11 - 20 years",1
"Administration (food service)","11 - 20 years",1
"Administration in MLM","8 - 10 years",1
"Administration, IT","31 - 40 years",1
"Administrative ","8 - 10 years",1
"Administrative Support","11 - 20 years",1
"Administrative Work","8 - 10 years",1
"Adult education","2 - 4 years",1
Aerospace,"11 - 20 years",3
"Aerospace ","8 - 10 years",1
"Aerospace & Defense","11 - 20 years",1
"Aerospace and Defense","1 year or less",1
"Aerospace and Defense","11 - 20 years",1
"Aerospace and Defense Manufacturing","21 - 30 years",1
"Aerospace and Defense/Government Contracting","5-7 years",1
"Aerospace contracting","11 - 20 years",1
"aerospace data","5-7 years",1
"Aerospace/Aviation ","8 - 10 years",1
"Affordable Housing Real Estate Development (nonprofit)","11 - 20 years",1
"Agriculture or Forestry","1 year or less",2
"Agriculture or Forestry","11 - 20 years",35
"Agriculture or Forestry","2 - 4 years",9
"Agriculture or Forestry","21 - 30 years",9
"Agriculture or Forestry","31 - 40 years",5
"Agriculture or Forestry","41 years or more",1
"Agriculture or Forestry","5-7 years",10
"Agriculture or Forestry","8 - 10 years",34
"Agriculture/Agriculture Chemical ","8 - 10 years",1
Airline,"11 - 20 years",1
"Analytical Chemistry","31 - 40 years",1
"Analytical lab","8 - 10 years",1
Analytics,"21 - 30 years",1
"Animal Care","21 - 30 years",1
"Animal care","5-7 years",1
"Animal Caretaker","11 - 20 years",1
"Animal Health","11 - 20 years",1
"Animal health industry","21 - 30 years",1
"Animal Health Product Manufacturing","11 - 20 years",1
"Animal welfare","11 - 20 years",1
Animation,"8 - 10 years",1
Apparel,"11 - 20 years",1
"Apparel ","8 - 10 years",1
"apparel design/product development ","5-7 years",1
"Apparel manufacture","41 years or more",1
Archaeologist,"31 - 40 years",1
Archaeology,"11 - 20 years",1
"Archaeology / Cultural Resource Management","11 - 20 years",1
"Archaeology/Cultural Resource Manager","11 - 20 years",1
Architect,"11 - 20 years",1
"Architect ","11 - 20 years",1
"Architectural/Land Planning/Civil Engineering","21 - 30 years",1
Architecture,"11 - 20 years",8
Architecture,"2 - 4 years",3
Architecture,"21 - 30 years",2
Architecture,"5-7 years",1
architecture,"8 - 10 years",3
"Architecture ","11 - 20 years",1
"Architecture ","2 - 4 years",1
"Architecture ","5-7 years",2
"Architecture ","8 - 10 years",2
"Architecture / Engineering","21 - 30 years",1
"Architecture & Construction","21 - 30 years",1
"Architecture, Engineering, Construction","11 - 20 years",1
Architecture/Construction,"5-7 years",1
Archives,"31 - 40 years",1
Archives,"5-7 years",1
Archives,"8 - 10 years",2
"Archives ","8 - 10 years",1
"Art & Design","1 year or less",2
"Art & Design","11 - 20 years",81
"Art & Design","2 - 4 years",34
"Art & Design","21 - 30 years",16
"Art & Design","31 - 40 years",1
"Art & Design","5-7 years",55
"Art & Design","8 - 10 years",62
"Arts Administration ","11 - 20 years",1
"Arts, Culture and Heritage","2 - 4 years",1
Association,"2 - 4 years",1
"Association Management ","5-7 years",1
"Auction House","1 year or less",1
"Auto Mfg.","21 - 30 years",1
"auto repair","11 - 20 years",1
"Auto Repair","21 - 30 years",1
Automotive,"11 - 20 years",3
Automotive,"2 - 4 years",1
Automotive,"21 - 30 years",2
Automotive,"5-7 years",2
"Automotive ","11 - 20 years",1
"Automotive ","5-7 years",1
"Automotive finance and insurance","11 - 20 years",1
"Automotive repair","11 - 20 years",2
"Automotive technician","21 - 30 years",1
"Automtive Repair","31 - 40 years",1
Aviation,"11 - 20 years",1
aviation,"21 - 30 years",1
Aviation,"8 - 10 years",1
"B2B Services ","21 - 30 years",1
"Background Screening","11 - 20 years",1
Beauty,"11 - 20 years",1
"Beauty /CPG ","8 - 10 years",1
"Beauty Manufacturing & Education ","8 - 10 years",1
"Beauty, Cosmetics, Fragrance","11 - 20 years",1
"Beauty/service industry ","21 - 30 years",1
"Beer sales","21 - 30 years",1
"Behavior analysis/mental health","5-7 years",1
"Benefits Administration","11 - 20 years",2
Beverage,"5-7 years",2
"Beverage & Spirits","11 - 20 years",1
"Beverage Distribution","11 - 20 years",1
"Beverage Production","11 - 20 years",1
"Big Pharma","21 - 30 years",1
"Bio tech","41 years or more",1
"Bioinformatics ","11 - 20 years",1
"biological research","2 - 4 years",1
"Biological Sciences","2 - 4 years",1
Biology,"2 - 4 years",1
Biology/Research,"8 - 10 years",1
"Biomedical Research","11 - 20 years",2
"Biomedical Research","2 - 4 years",2
"Biomedical research","5-7 years",2
"biomedical research","8 - 10 years",4
Biopharma,"11 - 20 years",1
Biopharma,"2 - 4 years",1
Biopharma,"21 - 30 years",1
Biopharma,"8 - 10 years",1
Biopharmaceuticals,"5-7 years",1
"Bioscience Company","11 - 20 years",1
Biotech,"1 year or less",1
Biotech,"11 - 20 years",15
Biotech,"2 - 4 years",11
Biotech,"21 - 30 years",4
Biotech,"5-7 years",7
Biotech,"8 - 10 years",7
"Biotech ","11 - 20 years",1
"Biotech ","5-7 years",1
"Biotech (R&D) ","2 - 4 years",1
"Biotech / life sciences ","21 - 30 years",1
"Biotech / Pharmaceutical Industry","5-7 years",1
"Biotech / Research","8 - 10 years",1
"Biotech industry","31 - 40 years",1
"Biotech manufacturing","21 - 30 years",1
"Biotech pharmaceuticals","31 - 40 years",1
"Biotech R&D","5-7 years",1
"Biotech Research","11 - 20 years",1
"Biotech research ","11 - 20 years",1
"Biotech/Drug Development","8 - 10 years",2
"Biotech/Food Safety","11 - 20 years",1
Biotech/Pharma,"1 year or less",2
Biotech/Pharma,"11 - 20 years",4
Biotech/Pharma,"2 - 4 years",2
Biotech/Pharma,"21 - 30 years",1
Biotech/pharma,"5-7 years",1
Biotech/pharma,"8 - 10 years",1
Biotech/pharmaceuticals,"11 - 20 years",1
Biotech/Pharmaceuticals,"2 - 4 years",1
"Biotech/pharmaceuticals ","11 - 20 years",2
Biotechnology,"11 - 20 years",2
Biotechnology,"2 - 4 years",2
Biotechnology,"5-7 years",5
Biotechnology,"8 - 10 years",5
"Biotechnology ","11 - 20 years",2
"Biotechnology ","2 - 4 years",1
"biotechnology ","41 years or more",1
"Biotechnology ","8 - 10 years",1
Bitech,"11 - 20 years",1
"Book Publishing","11 - 20 years",2
"Book Publishing","2 - 4 years",1
"Book publishing","21 - 30 years",1
"Book Publishing","5-7 years",1
"Brain research ","11 - 20 years",1
Brewing,"8 - 10 years",1
"Business or Consulting","1 year or less",29
"Business or Consulting","11 - 20 years",211
"Business or Consulting","2 - 4 years",109
"Business or Consulting","21 - 30 years",67
"Business or Consulting","31 - 40 years",17
"Business or Consulting","41 years or more",2
"Business or Consulting","5-7 years",135
"Business or Consulting","8 - 10 years",128
"Business Process Outsourcing","11 - 20 years",1
"Business Process Outsourcing ","2 - 4 years",1
"Call center","11 - 20 years",1
"CALL CENTER","21 - 30 years",1
"Cancer research, not for profit","31 - 40 years",1
Cannabis,"11 - 20 years",2
Cannabis,"5-7 years",2
Cannabis,"8 - 10 years",1
"Career & Technical Training","11 - 20 years",1
Caregiver,"11 - 20 years",1
"CBD Manufacturing","5-7 years",1
Charity,"5-7 years",1
Chemical,"2 - 4 years",1
"Chemical Manufacturing","11 - 20 years",1
"Chemicals ","11 - 20 years",1
"Chemicals/ Materials","5-7 years",1
Chemistry,"2 - 4 years",1
Chemistry,"8 - 10 years",1
"Child care","11 - 20 years",2
"Child Care Resource and Referral Agency","5-7 years",1
Childcare,"11 - 20 years",1
Childcare,"5-7 years",1
"childcare ","5-7 years",1
"Children's Book Wholesale","11 - 20 years",1
"Church ministry","31 - 40 years",1
"Clean Energy (eg. energy efficiency, renewables, etc.)","8 - 10 years",1
Clergy,"11 - 20 years",1
Clergy,"2 - 4 years",1
Clergy,"8 - 10 years",1
"Clinical & Translational Reserach","21 - 30 years",1
"Clinical research","11 - 20 years",1
"clinical research","8 - 10 years",3
"Clinical Research ","5-7 years",1
"Clinical research ","8 - 10 years",1
"Clinical research and development ","11 - 20 years",1
"Clinical Research Manager - academic institution","8 - 10 years",1
"Clinical trials","11 - 20 years",1
"clinical trials research coordination","21 - 30 years",1
coaching,"21 - 30 years",1
"Coffee - Importing","8 - 10 years",1
"College Athletics","2 - 4 years",1
"Commercial Building Material Distribution","21 - 30 years",1
"Commercial Fisherman","8 - 10 years",1
"Commercial furniture","5-7 years",1
"Commercial Real Estate","1 year or less",1
"Commercial Real Estate","11 - 20 years",2
"Commercial Real Estate","2 - 4 years",1
"Commercial Real Estate","8 - 10 years",1
"Commercial Real Estate ","11 - 20 years",1
"Commercial Real Estate ","21 - 30 years",1
"Commercial Real Estate - Private Equity","5-7 years",1
"Commercial Real Estate Data and Analytics/Research","11 - 20 years",1
"Commercial real estate tenancy","5-7 years",1
"commodities trading","31 - 40 years",1
"Communication Research","5-7 years",1
Communications,"11 - 20 years",1
Communications,"2 - 4 years",1
Communications,"5-7 years",2
Communications,"8 - 10 years",1
"Community Management","21 - 30 years",1
Compliance,"8 - 10 years",1
"Computing or Tech","1 year or less",63
"Computing or Tech","11 - 20 years",1257
"Computing or Tech","2 - 4 years",365
"Computing or Tech","21 - 30 years",581
"Computing or Tech","31 - 40 years",92
"Computing or Tech","41 years or more",13
"Computing or Tech","5-7 years",584
"Computing or Tech","8 - 10 years",628
"Computing/Tech + Higher Ed + Nonprofit","1 year or less",1
Concrete,"11 - 20 years",1
Construction,"11 - 20 years",2
Construction,"21 - 30 years",1
Construction,"5-7 years",1
Construction,"8 - 10 years",2
"Construction ","11 - 20 years",1
"Construction ","2 - 4 years",2
"Construction ","21 - 30 years",1
"Construction / Stone industry","2 - 4 years",1
"Construction Management","1 year or less",1
"Construction, mining, manufacturing","21 - 30 years",1
Consultant,"11 - 20 years",1
Consulting,"11 - 20 years",2
Consulting,"21 - 30 years",1
Consulting,"8 - 10 years",2
"Consulting ","2 - 4 years",1
"Consulting / Professional Services","5-7 years",1
"Consulting Operations- Big 4","11 - 20 years",1
"Consumer food products ","11 - 20 years",1
"Consumer Good (Toys)","11 - 20 years",1
"Consumer Goods","1 year or less",1
"Consumer goods","11 - 20 years",5
"Consumer goods","8 - 10 years",1
"Consumer Goods Production","5-7 years",1
"Consumer Packaged Goods","11 - 20 years",2
"Consumer packaged goods","21 - 30 years",2
"Consumer Packaged Goods","8 - 10 years",1
"Consumer packaged goods ","8 - 10 years",1
"consumer product design","11 - 20 years",1
"Consumer Product Organization ","11 - 20 years",1
"consumer products","21 - 30 years",1
"Consumer Products design ","11 - 20 years",1
"Consumer Research","8 - 10 years",1
"Contact Center","11 - 20 years",1
"Content Review - Copyright/DMCA","11 - 20 years",1
"Contract Research","2 - 4 years",1
"Contract research organisation","8 - 10 years",1
"Corporate accounting in death care (funeral & cemetery)","11 - 20 years",1
"Corporate Learning and Development","21 - 30 years",1
"Corporate service management","5-7 years",1
"Corporate sustainability ","2 - 4 years",1
"Corporate Sustainability ","5-7 years",1
"Corporate Training","21 - 30 years",1
"Corporate Travel Industry","31 - 40 years",1
"Costruction admin","8 - 10 years",1
Counseling,"5-7 years",1
CPG,"2 - 4 years",1
"CPG / Retail","5-7 years",1
"Cultural Heritage","8 - 10 years",1
"Cultural Resource Management","21 - 30 years",1
"Cultural Resources Management/Major Univ.","11 - 20 years",1
Culture,"2 - 4 years",1
"Customer Service","11 - 20 years",1
"Customer service","2 - 4 years",1
"Customer Service","5-7 years",2
"Customer service/call center","11 - 20 years",1
"Customer service/publishing-adjacent ","5-7 years",1
"Data Analytics","2 - 4 years",1
"Data Breach","8 - 10 years",1
"Data Entry","8 - 10 years",1
"Database subscription services","41 years or more",1
Defense,"11 - 20 years",2
Defense,"2 - 4 years",1
Defense,"21 - 30 years",1
Defense,"8 - 10 years",2
"Defense ","5-7 years",1
"Defense contracting","11 - 20 years",2
"Defense Contractor","8 - 10 years",1
"Delivery and installation for commercial machinery","11 - 20 years",1
"Diagnostic Medical Devices","2 - 4 years",1
Digital,"8 - 10 years",1
"digital commerce / ecommerce","5-7 years",1
"Digital Marketing","11 - 20 years",1
"digital marketing within a book publishing company (please reclassify as you see fit)","11 - 20 years",1
"Disability services ","8 - 10 years",1
Distribution,"11 - 20 years",1
"Diversity, Equity & Inclusion ","8 - 10 years",1
"Drug development ","21 - 30 years",1
E-commerce,"2 - 4 years",3
E-commerce,"8 - 10 years",2
"E-commerce ","8 - 10 years",1
e-learning,"2 - 4 years",1
Eap,"8 - 10 years",1
"Early childhood education","21 - 30 years",1
"Early Childhood Education","8 - 10 years",1
"Early childhood education (preschool)","31 - 40 years",1
"Early Education","2 - 4 years",1
"Early Education (corporate office)","8 - 10 years",1
"Earth sciences","2 - 4 years",1
Ecommerce,"21 - 30 years",1
"ECommerce ","11 - 20 years",1
"Ecommerce - Technology","2 - 4 years",1
"Ecommerce fraud","21 - 30 years",1
economics,"11 - 20 years",1
"Ed Tech","5-7 years",1
"Ed tech","8 - 10 years",1
"Editor in educational publishing","21 - 30 years",1
Edtech,"5-7 years",1
"Educ tech","31 - 40 years",1
"Education (early childhood)","21 - 30 years",1
"Education (Higher Education)","1 year or less",14
"Education (Higher Education)","11 - 20 years",608
"Education (Higher Education)","2 - 4 years",115
"Education (Higher Education)","21 - 30 years",220
"Education (Higher Education)","31 - 40 years",75
"Education (Higher Education)","41 years or more",6
"Education (Higher Education)","5-7 years",226
"Education (Higher Education)","8 - 10 years",308
"Education (Other)","11 - 20 years",1
"Education (Primary/Secondary)","1 year or less",7
"Education (Primary/Secondary)","11 - 20 years",225
"Education (Primary/Secondary)","2 - 4 years",46
"Education (Primary/Secondary)","21 - 30 years",78
"Education (Primary/Secondary)","31 - 40 years",28
"Education (Primary/Secondary)","41 years or more",1
"Education (Primary/Secondary)","5-7 years",67
"Education (Primary/Secondary)","8 - 10 years",106
"Education Consulting","11 - 20 years",1
"Education Publishing ","5-7 years",1
"Education research- mix of Edtech and non profits","8 - 10 years",1
"Education service provider","11 - 20 years",1
"Education services (tutoring)","11 - 20 years",1
"Education start-up","2 - 4 years",1
"education writing","2 - 4 years",1
"Education- museum/public outreach ","21 - 30 years",1
Education/vocational,"21 - 30 years",1
"Educational assessment","11 - 20 years",1
"Educational Publishing","11 - 20 years",1
"educational publishing","21 - 30 years",2
"Educational publishing / ed tech","11 - 20 years",1
"Educational Research","11 - 20 years",1
"Educational technology","11 - 20 years",1
"Educational Technology - hybrid between book publishing and technology really","8 - 10 years",1
"Emergency Management","11 - 20 years",1
Energy,"11 - 20 years",6
Energy,"21 - 30 years",4
Energy,"8 - 10 years",5
"Energy (oil & gas & associated products, renewable power, etc)","21 - 30 years",1
"Energy (Oil & Gas)","21 - 30 years",1
"Energy Sector: Oil & Gas","11 - 20 years",1
"Energy Supplier","11 - 20 years",1
"Energy, Oil & Gas","21 - 30 years",1
"Energy, Oil and Gas","8 - 10 years",1
"Energy: oil & gas","21 - 30 years",1
Energy/oil,"8 - 10 years",1
"Engineering - Mining","8 - 10 years",1
"Engineering and Environmental Consulting","11 - 20 years",1
"Engineering or Manufacturing","1 year or less",29
"Engineering or Manufacturing","11 - 20 years",467
"Engineering or Manufacturing","2 - 4 years",181
"Engineering or Manufacturing","21 - 30 years",154
"Engineering or Manufacturing","31 - 40 years",32
"Engineering or Manufacturing","41 years or more",9
"Engineering or Manufacturing","5-7 years",274
"Engineering or Manufacturing","8 - 10 years",223
Entertainment,"1 year or less",1
Entertainment,"11 - 20 years",59
Entertainment,"2 - 4 years",17
Entertainment,"21 - 30 years",26
Entertainment,"31 - 40 years",8
Entertainment,"41 years or more",1
Entertainment,"5-7 years",32
Entertainment,"8 - 10 years",36
"Entertainment data","1 year or less",1
"Entrepreneur high net worth ","21 - 30 years",1
"Env. Consulting","5-7 years",1
"Enviromental ","8 - 10 years",1
Environment,"1 year or less",1
Environment,"8 - 10 years",2
"Environment - Oil and Gas","8 - 10 years",1
"Environment, health, and safety","8 - 10 years",1
Environmental,"1 year or less",1
environmental,"11 - 20 years",2
Environmental,"2 - 4 years",4
Environmental,"31 - 40 years",1
Environmental,"8 - 10 years",1
"Environmental ","2 - 4 years",2
"Environmental ","21 - 30 years",1
"Environmental ","31 - 40 years",1
"Environmental compliance","11 - 20 years",1
"Environmental compliance","8 - 10 years",1
"environmental compliance ","1 year or less",1
"environmental compliance/engineering","8 - 10 years",1
"Environmental Consulting","1 year or less",1
"Environmental consulting","11 - 20 years",2
"Environmental Consulting","21 - 30 years",1
"Environmental Consulting","31 - 40 years",1
"Environmental consulting","5-7 years",5
"Environmental Consulting","8 - 10 years",1
"Environmental Consulting ","8 - 10 years",1
"Environmental Health + Pest Control","8 - 10 years",1
"environmental health and safety","2 - 4 years",1
"Environmental health and safety compliance","11 - 20 years",1
"Environmental Planning","8 - 10 years",1
"Environmental Science","5-7 years",1
"Environmental Science","8 - 10 years",2
"Environmental science ","2 - 4 years",1
"Environmental sciences","5-7 years",1
"Environmental Sciences","8 - 10 years",1
"Environmental survey","11 - 20 years",1
"Environmental/Cultural Resource Management","5-7 years",1
"Environmnetal ","5-7 years",1
"ESL Teacher","11 - 20 years",1
"Executive Leadership Servis","21 - 30 years",1
"Executive search","11 - 20 years",1
"Executive Search","8 - 10 years",1
Faith/spirituality,"2 - 4 years",1
"Family Office","21 - 30 years",1
"Family office ","11 - 20 years",1
Fashion,"2 - 4 years",1
Fashion,"5-7 years",1
"Fashion/e-commerce ","8 - 10 years",1
"Fast casual restaurant ","8 - 10 years",1
"Federal Government Contracting","11 - 20 years",1
"Film Post-Production","5-7 years",1
Finance,"11 - 20 years",1
Finance,"21 - 30 years",1
Finance,"31 - 40 years",1
Finance,"8 - 10 years",1
"Finance ","11 - 20 years",1
"Finance/Investment Management but in legal/compliance, so back-office","5-7 years",1
Fintech,"21 - 30 years",1
Fintech,"5-7 years",1
"FinTech/Payment Processing","11 - 20 years",1
"Fire protection","8 - 10 years",1
fitness,"21 - 30 years",1
"Fitness & Entertainment","21 - 30 years",1
"FMCG development ","11 - 20 years",1
Food,"11 - 20 years",1
Food,"5-7 years",1
Food,"8 - 10 years",1
"Food & Beverage","21 - 30 years",2
"Food & Beverage","8 - 10 years",1
"Food & Beverages","8 - 10 years",1
"Food & Nutrition","8 - 10 years",1
"Food and Beverage","11 - 20 years",1
"Food and Drink ","5-7 years",1
"Food and Flavor","21 - 30 years",1
"Food demos","31 - 40 years",1
"Food distribution","31 - 40 years",1
"Food Distribution","5-7 years",1
"Food Industry","5-7 years",1
"Food Industry","8 - 10 years",1
"Food industry ","5-7 years",1
"Food Manufacture","21 - 30 years",1
"Food manufacturers ","21 - 30 years",1
"Food manufacturing","11 - 20 years",2
"Food manufacturing ","21 - 30 years",1
"Food processing","11 - 20 years",1
"Food Processing","8 - 10 years",1
"Food processing and packaging","31 - 40 years",1
"Food production","21 - 30 years",1
"Food production","8 - 10 years",1
"Food service","1 year or less",1
"Food Service","2 - 4 years",1
"Food Service","5-7 years",1
"Food service ","2 - 4 years",1
"Food Service --- Baking","11 - 20 years",1
"Food/Beverage Manufacturing- Quality/Laboratory","11 - 20 years",1
"Food/Quick Service Restaurant (QSR)","11 - 20 years",1
Foodservice,"11 - 20 years",1
"For profit education","11 - 20 years",1
Forensics,"11 - 20 years",1
"Forklift operator warehouse","5-7 years",1
"Freelance Journalism","2 - 4 years",1
"Freelance/Self-Employed Consultant ","11 - 20 years",1
Fundraising,"2 - 4 years",1
Fundraising,"21 - 30 years",1
Fundraising,"5-7 years",1
"Fundraising in Higher Education; nonclinical, nonacademic","21 - 30 years",1
Funeral,"21 - 30 years",1
"Funeral Service ","11 - 20 years",1
"Funeral Service ","8 - 10 years",1
"funeral services","8 - 10 years",1
Gambling,"11 - 20 years",1
"Game development","11 - 20 years",1
"Game Development","5-7 years",1
"Games development","8 - 10 years",1
Gaming,"2 - 4 years",1
"Gaming (Gambling)","8 - 10 years",1
Geospatial,"11 - 20 years",1
"Global Mobility","8 - 10 years",1
"Government ","8 - 10 years",1
"Government Affairs/Lobbying","11 - 20 years",1
"Government Affairs/Lobbying","21 - 30 years",1
"Government and Public Administration","1 year or less",13
"Government and Public Administration","11 - 20 years",481
"Government and Public Administration","2 - 4 years",96
"Government and Public Administration","21 - 30 years",192
"Government and Public Administration","31 - 40 years",68
"Government and Public Administration","41 years or more",7
"Government and Public Administration","5-7 years",188
"Government and Public Administration","8 - 10 years",219
"Government Contracting","11 - 20 years",1
"Government Contracting","21 - 30 years",1
"Government contracting","8 - 10 years",2
"Government contracting (data analytics and program evaluations)","5-7 years",1
"Government Contracting R&D","11 - 20 years",1
"Government Contractor","11 - 20 years",1
"Government contractor","21 - 30 years",1
"Government Contractor","31 - 40 years",1
"Government contractor","5-7 years",1
"Government contractor ","8 - 10 years",1
"Government Contractor (R&D)","5-7 years",1
"government contractor, international development","11 - 20 years",1
"Government Relation","8 - 10 years",1
"Government Relations","2 - 4 years",1
"Government Relations","5-7 years",1
"Government Relations","8 - 10 years",2
"Government Research","5-7 years",1
"Government- Scientist","11 - 20 years",1
"Govt contractor - not direct govt but they pay my company who in turn pays me","11 - 20 years",1
"Govt contractor - not directly govt but they pay me","11 - 20 years",1
"Graduate Student","8 - 10 years",1
"Grantwriting Consultants","11 - 20 years",1
"Grocery delivery","2 - 4 years",1
"Grocery Distribution","11 - 20 years",2
Gyms,"11 - 20 years",1
"Hardware Manufacturing","5-7 years",1
"Haz/Ind/Rad Waste Management ","21 - 30 years",1
"Health and fitness","11 - 20 years",1
"Health care","1 year or less",32
"Health care","11 - 20 years",501
"Health care","2 - 4 years",125
"Health care","21 - 30 years",217
"Health care","31 - 40 years",59
"Health care","41 years or more",10
"Health care","5-7 years",209
"Health care","8 - 10 years",260
"Health Insurance ","21 - 30 years",1
"Health Research","5-7 years",1
"Healthcare Information Technology","11 - 20 years",1
"Healthcare IT","21 - 30 years",1
"Healthcare technology ","8 - 10 years",1
Heritage,"11 - 20 years",1
"Heritage ","2 - 4 years",1
"Heritage/Public History","5-7 years",1
"High end outdoor furniture manufacturer ","11 - 20 years",1
"Higher education fundraising","11 - 20 years",1
"Higher education/Libraries","8 - 10 years",1
"Historic Preservation","11 - 20 years",1
"Horticulture (Admin)","21 - 30 years",1
"Hospitality & Events","1 year or less",6
"Hospitality & Events","11 - 20 years",68
"Hospitality & Events","2 - 4 years",6
"Hospitality & Events","21 - 30 years",29
"Hospitality & Events","31 - 40 years",5
"Hospitality & Events","41 years or more",1
"Hospitality & Events","5-7 years",32
"Hospitality & Events","8 - 10 years",39
Housekeeper/cook,"11 - 20 years",1
HRO,"11 - 20 years",1
"Human Capital Management","2 - 4 years",1
"Human Resources","8 - 10 years",1
"Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)","11 - 20 years",1
"I have two jobs. Marketing / Business ","2 - 4 years",1
"I work for Indeed.com","21 - 30 years",1
"I work in the finance function of a large global conglomerate","5-7 years",1
"In-House Marketing","5-7 years",1
"individual & family services","11 - 20 years",1
"Industrial Cleaning & Non Hazardous Transport","11 - 20 years",1
"Industrial Hygiene","8 - 10 years",1
"Industrial Supply","21 - 30 years",1
"Information Management/Archives","2 - 4 years",1
"Information services (libraries)","11 - 20 years",1
"Information services (library)","11 - 20 years",1
"Information Services/Libraries","11 - 20 years",1
"Information Technology","41 years or more",1
"Information technology (IT)","5-7 years",1
"Instructional Design and Training","21 - 30 years",1
"Instructional Design, Aviation Industry","8 - 10 years",1
"Instructional Designer","11 - 20 years",1
Insurance,"1 year or less",4
Insurance,"11 - 20 years",156
Insurance,"2 - 4 years",37
Insurance,"21 - 30 years",82
Insurance,"31 - 40 years",24
Insurance,"41 years or more",1
Insurance,"5-7 years",72
Insurance,"8 - 10 years",85
Intelligence,"8 - 10 years",1
"Intergovernmental organization","11 - 20 years",1
"Interior Design (commercial)","2 - 4 years",1
"Interior Design & Architecture","21 - 30 years",1
"Interior landscaping ","8 - 10 years",1
"Internal Communications","11 - 20 years",1
"International defence","11 - 20 years",1
"International Development","11 - 20 years",1
"International Development","2 - 4 years",1
"International development","31 - 40 years",1
"International Development","5-7 years",1
"International development","8 - 10 years",2
"International development (multilateral donor)","8 - 10 years",1
Internet,"11 - 20 years",1
Interpretation,"8 - 10 years",1
Investing,"11 - 20 years",1
IT,"11 - 20 years",1
IT,"2 - 4 years",1
IT,"8 - 10 years",1
"IT MSP","21 - 30 years",1
