City,Industry,Average_Salary
NULL,"Accounting, Banking & Finance",38000.0000
" Berkley Heights ","Recruitment or HR",90000.0000
" Chicago","Accounting, Banking & Finance",130000.0000
" Chicago",Insurance,66100.0000
" Chicago ","Computing or Tech",186000.0000
" Rural Florida Panhandle","Education (Higher Education)",33280.0000
" Ventura ",Law,48800.0000
"A city small enough to not answer this question","Business or Consulting",103000.0000
"A large city","Government and Public Administration",103000.0000
"A small city","Accounting, Banking & Finance",70000.0000
"a small city","Education (Higher Education)",65386.0000
"A very large city","Government and Public Administration",130000.0000
Aachen,"Computing or Tech",61000.0000
Abbotsford,Law,95000.0000
Aberdeen,"Computing or Tech",40300.0000
Aberdeen,"Engineering or Manufacturing",53000.0000
Aberdeen,"Government and Public Administration",70473.0000
Aberdeen,"Health care",34000.0000
Aberdeen,Nonprofits,22200.0000
Aberdeen,"Oil and Gas",51000.0000
Aberdeen,Sales,40000.0000
"Aberdeen ","Utilities & Telecommunications",27600.0000
Abidjan,Energy,67500.0000
Abilene,"Health care",50000.0000
Abilene,manufacturing,95000.0000
"Abington ","Health care",43000.0000
"Abington, PA","Health care",56000.0000
Accra,Nonprofits,82583.0000
Adairsville,"Engineering or Manufacturing",45760.0000
Addis,"Engineering or Manufacturing",86000.0000
Addison,"Computing or Tech",145000.0000
Adelaide,"Agriculture or Forestry",50768.0000
Adelaide,"Computing or Tech",133500.0000
Adelaide,"Education (Higher Education)",82000.0000
Adelaide,"Education (Primary/Secondary)",82546.5000
Adelaide,"Engineering or Manufacturing",103000.0000
Adelaide,"Government and Public Administration",90000.0000
Adelaide,"Health care",79000.0000
Adelaide,Law,85000.0000
Adelaide,"Media & Digital",120000.0000
Adelaide,Nonprofits,65000.0000
Adelaide,Retail,72000.0000
Adelaide,"Science/Biotech ",65000.0000
"Adelaide ",Nonprofits,68816.0000
"Affluent Chicago suburb","Computing or Tech",140000.0000
Agawam,"Education (Primary/Secondary)",20000.0000
Agawam,Nonprofits,95000.0000
Aguadilla,Sales,16000.0000
Aiken,"Cultural Resources Management/Major Univ.",30000.0000
Aiken,"Engineering or Manufacturing",223000.0000
Aiken,Retail,29120.0000
"Ainsworth ","Health care",33800.0000
Akron,"Accounting, Banking & Finance",66000.0000
Akron,"Computing or Tech",85500.0000
Akron,"Engineering or Manufacturing",86000.0000
Akron,"Government and Public Administration",53017.6667
Akron,"Health care",49920.0000
Akron,Nonprofits,93000.0000
"Akron, Ohio","Education (Higher Education)",38500.0000
"Al Khobar","Oil & Gas",107045.0000
Alabama,"Art & Design",64000.0000
"Alabama ","Computing or Tech",35000.0000
Alameda,"Beauty/service industry ",72800.0000
Alameda,Biotech,93000.0000
Alameda,"Engineering or Manufacturing",112333.3333
Alamogordo,"Education (Primary/Secondary)",60000.0000
"Alamogordo ",Nonprofits,42000.0000
Albany,"Accounting, Banking & Finance",70000.0000
Albany,"Computing or Tech",69654.5000
Albany,"Education (Higher Education)",56280.0000
Albany,"Education (Primary/Secondary)",35000.0000
Albany,"Engineering or Manufacturing",79784.8000
Albany,"Government and Public Administration",74215.4167
Albany,"Health care",71500.0000
Albany,Law,85500.0000
Albany,"Learning and Development",62000.0000
Albany,Library,60000.0000
Albany,"Marketing, Advertising & PR",106000.0000
Albany,Nonprofits,70750.0000
Albany,"Pharma & Biotech",125760.0000
Albany,"Pharmaceutical research (chemist)",64000.0000
Albany,"Utilities & Telecommunications",60900.0000
"Albany ","Business or Consulting",66250.0000
"Albany-Schenectady-Troy Metro Area","Education (Primary/Secondary)",64000.0000
"Albany, NY","Education (Higher Education)",72000.0000
"Albany, NY","Media & Digital",125000.0000
Albemarle,"Government and Public Administration",62000.0000
Alberta,"Accounting, Banking & Finance",52500.0000
Alberta,"Business or Consulting",80000.0000
Alberta,Retail,55000.0000
Alberta,"Utilities & Telecommunications",54400.0000
Albuquerque,"Accounting, Banking & Finance",72000.0000
Albuquerque,Architecture,60000.0000
Albuquerque,"Business or Consulting",89000.0000
Albuquerque,"Computing or Tech",130000.0000
albuquerque,"Education (Higher Education)",64000.0000
Albuquerque,"Education (Primary/Secondary)",51000.0000
Albuquerque,"Engineering or Manufacturing",106000.0000
Albuquerque,"Government and Public Administration",82118.3333
Albuquerque,"Health care",64070.0000
Albuquerque,Insurance,78833.3333
Albuquerque,Law,58840.0000
Albuquerque,library,49500.0000
Albuquerque,Nonprofits,34000.0000
Albuquerque,"Property or Construction",100000.0000
Albuquerque,Retail,20800.0000
Albuquerque,"Science Research, government",131000.0000
Albuquerque,"Transport or Logistics",90000.0000
"Albuquerque ","Business or Consulting",70000.0000
"Albuquerque ","Engineering or Manufacturing",119666.6667
"Albuquerque ","Government and Public Administration",102000.0000
"Albuquerque ","Health care",74333.3333
"Albuquerque ",Law,120000.0000
"Albuquerque ",Nonprofits,36900.0000
"Albuquerque ",Retail,44033.5000
"Albuquerque ","Utilities & Telecommunications",113500.0000
Albuquerqur,"Engineering or Manufacturing",77000.0000
"Aldie ","Education (Primary/Secondary)",37400.0000
"Aldie, VA","Education (Primary/Secondary)",63000.0000
Alexandria,"Accounting, Banking & Finance",113000.0000
Alexandria,"Art & Design",64000.0000
Alexandria,Association,67000.0000
Alexandria,"Business or Consulting",335500.0000
Alexandria,"Computing or Tech",109000.0000
Alexandria,"Education (Higher Education)",55000.0000
Alexandria,"Education (Primary/Secondary)",105000.0000
Alexandria,"Engineering or Manufacturing",110162.5000
Alexandria,"Government and Public Administration",118165.5000
Alexandria,"Health care",118750.0000
Alexandria,"Hospitality & Events",62000.0000
Alexandria,"Instructional Design and Training",104000.0000
Alexandria,Insurance,41447.0000
Alexandria,Law,121500.0000
Alexandria,"Marketing, Advertising & PR",62125.0000
Alexandria,Nonprofits,92964.2857
Alexandria,"Professional Association ",56500.0000
Alexandria,Publishing,62000.0000
Alexandria,Science,160000.0000
"Alexandria ","Accounting, Banking & Finance",45000.0000
"Alexandria ","Computing or Tech",109200.0000
"Alexandria ","Education (Primary/Secondary)",111340.0000
"Alexandria ","Engineering or Manufacturing",92000.0000
"Alexandria ","Government and Public Administration",98827.0000
"Alexandria ","Health care",399000.0000
"Alexandria ",Law,97000.0000
"Alexandria ",Nonprofits,170000.0000
"Alexandria ","Property or Construction",72000.0000
"Alexandria, LA","Government and Public Administration",92580.0000
"Alexandria, VA","Marketing, Advertising & PR",87000.0000
"Alexandria, VA",Nonprofits,63000.0000
Alexandrira,"Trade Associations",67000.0000
Algonac,"Engineering or Manufacturing",54080.0000
"Aliso Viejo","Computing or Tech",162390.0000
"Aliso Viejo","Health care",108000.0000
"Aliso Viejo","Veterinary medicine",34000.0000
"Aliso Viejo","Video Games",70000.0000
"All over",Rideshare,48000.0000
"all over N CA",restoration,184000.0000
"All, travel","Government and Public Administration",43000.0000
Allegan,Libraries,44335.0000
Allen,"Computing or Tech",91500.0000
Allen,"Education (Higher Education)",52798.0000
"Allen Park","Education (Primary/Secondary)",48809.0000
"Allen, TX","Utilities & Telecommunications",95900.0000
Allen/Plano,"Health care",65000.0000
"Allendale, MI","Education (Higher Education)",50000.0000
Allentown,"Accounting, Banking & Finance",74000.0000
Allentown,"Engineering or Manufacturing",96500.0000
Allentown,"Health care",138000.0000
Allentown,Insurance,67000.0000
Allentown,"Recruitment or HR",140000.0000
Allentown,"Transport or Logistics",33800.0000
Allentown,"Utilities & Telecommunications",75000.0000
"Allentown ","Leisure, Sport & Tourism",34500.0000
Alma,"Health care",66300.0000
Alpharetta,"Computing or Tech",124933.3333
Alpharetta,"Government and Public Administration",45000.0000
Alpharetta,Nonprofits,70000.0000
Alpharetta,"Recruitment or HR",66000.0000
Alpharetta,Retail,55000.0000
Alpharetta,"Transport or Logistics",45000.0000
Alpharetta,"Utilities & Telecommunications",118000.0000
"Alpharetta ","Health care",40770.0000
"Alpharetta ",Unknown,120000.0000
"Alpharetta ","Utilities & Telecommunications",60000.0000
"Alpharetta, GA","Health care",110000.0000
Altoona,"Accounting, Banking & Finance",97000.0000
Altus,Insurance,31200.0000
Alvarado,"Education (Primary/Secondary)",53000.0000
Amarillo,"Recruitment or HR",90000.0000
Amarillo,"Utilities & Telecommunications",104269.0000
Ambler,"Engineering or Manufacturing",76900.0000
Ambler,"Property or Construction",72000.0000
"American Fork","Marketing, Advertising & PR",92000.0000
Ames,"Art & Design",50000.0000
Ames,"Education (Higher Education)",61845.6667
Ames,"Government and Public Administration",68110.0000
Ames,"Transport or Logistics",36000.0000
Amesbury,Library,65000.0000
Amherst,"Education (Higher Education)",43350.0000
Amherst,"Engineering or Manufacturing",42000.0000
Amherst,Law,90000.0000
"Amherst, MA","Agriculture or Forestry",56000.0000
Amityville,"Engineering or Manufacturing",37440.0000
Ammon,"Education (Primary/Secondary)",46000.0000
Amsterdam,"Accounting, Banking & Finance",68750.0000
Amsterdam,Biotech,61500.0000
Amsterdam,"Business or Consulting",52000.0000
Amsterdam,"Computing or Tech",74878.2308
Amsterdam,"Engineering or Manufacturing",35000.0000
Amsterdam,Entertainment,60000.0000
Amsterdam,Insurance,72800.0000
Amsterdam,"Marketing, Advertising & PR",110000.0000
Amsterdam,"Media & Digital",78000.0000
Amsterdam,"Renewable fuels",72000.0000
Amsterdam,Sales,29965.0000
Amsterdam,"Social research",33048.0000
"Amsterdam ","Computing or Tech",59000.0000
"Amsterdam ","Engineering or Manufacturing",84000.0000
"Amsterdam ","Health care",72500.0000
Amsterdsm,"Marketing, Advertising & PR",38400.0000
"An exact answer would out me","Computing or Tech",116000.0000
Anaconda,"Health care",72000.0000
Anacortes,"Accounting, Banking & Finance",55000.0000
Anaheim,"Accounting, Banking & Finance",45760.0000
Anaheim,"Education (Primary/Secondary)",80000.0000
Anaheim,"Marketing, Advertising & PR",85000.0000
Anaheim,Nonprofits,120000.0000
Anchorage,"Accounting, Banking & Finance",111866.6667
Anchorage,"Computing or Tech",67000.0000
Anchorage,"Engineering or Manufacturing",88481.0000
Anchorage,Fundraising,95000.0000
Anchorage,"Government and Public Administration",74446.6667
Anchorage,"Health care",111333.3333
Anchorage,Law,132500.0000
Anchorage,Libraries,62000.0000
anchorage,Nonprofits,52000.0000
Anchorage,Research,94000.0000
Anchorage,Retail,50000.0000
Anchorage,Sales,90000.0000
"Anchorage ","Government and Public Administration",63000.0000
"Anchorage ","Health care",71040.0000
"Anchorage ",Nonprofits,27040.0000
"Anchorage ","Social Work",51000.0000
Anchoragr,"Government Contracting",130800.0000
Anderson,"Computing or Tech",40000.0000
Anderson,"Education (Higher Education)",62000.0000
"Anderson ","Transport or Logistics",60000.0000
Andover,"Accounting, Banking & Finance",64200.0000
Andover,"Computing or Tech",143000.0000
Andover,"Engineering or Manufacturing",101800.0000
Andover,"Health care",69000.0000
Andover,Pharmaceutical,116358.0000
"Andover ","Education (Higher Education)",81600.0000
Ankeny,"Computing or Tech",47840.0000
Ankeny,"Engineering or Manufacturing",58000.0000
"Ann Arbor","Academia / Research",68500.0000
"Ann Arbor","Accounting, Banking & Finance",89000.0000
"Ann Arbor",Biotech,80975.0000
"Ann Arbor","Business or Consulting",90000.0000
"Ann Arbor","Computing or Tech",114784.3333
"Ann Arbor","Education (Higher Education)",64732.9000
"Ann Arbor","Education (Primary/Secondary)",38000.0000
"Ann Arbor","Engineering or Manufacturing",97660.0000
"Ann Arbor","Government and Public Administration",110500.0000
"Ann Arbor","Health care",68187.5000
"Ann Arbor","Media & Digital",70500.0000
"Ann Arbor",Nonprofits,44366.6667
"ann arbor","public health",87000.0000
"Ann Arbor","Public health (not medical)",65000.0000
"Ann Arbor",Publishing,9000.0000
"Ann Arbor","Recruitment or HR",91300.0000
"Ann Arbor",Retail,25000.0000
"Ann Arbor",Sales,105000.0000
"Ann Arbor ","Education (Higher Education)",75000.0000
"Ann Arbor ","Leisure, Sport & Tourism",54000.0000
"Ann Arbor ",Nonprofits,48000.0000
"Ann Arbor area","Engineering or Manufacturing",65000.0000
"Ann Arbor, Michigan","Social Work",55000.0000
Annandale,"Government and Public Administration",125000.0000
Annapolis,"Accounting, Banking & Finance",85000.0000
Annapolis,"Computing or Tech",138000.0000
Annapolis,"Education (Higher Education)",111333.3333
Annapolis,"Engineering or Manufacturing",97000.0000
Annapolis,"Government and Public Administration",68903.6667
Annapolis,"Health care",94000.0000
Annapolis,Insurance,96000.0000
Annapolis,Law,89000.0000
Annapolis,Nonprofits,66000.0000
"Annapolis ","Government and Public Administration",62000.0000
"Annapolis Junction","Government and Public Administration",113000.0000
"Annapolis Valley","Computing or Tech",170000.0000
Annecy,Translation,22800.0000
Anon,"Education (Higher Education)",82000.0000
Anonymous,"Education (Higher Education)",160000.0000
anonymous,Library,48028.0000
"Anonymous ","Education (Primary/Secondary)",83000.0000
"Anonymous ","Government and Public Administration",86000.0000
Antwerp,"Business or Consulting",63560.0000
Antwerpen,Mining,73000.0000
"Apache Junction","Computing or Tech",116000.0000
Apex,"Computing or Tech",190550.0000
Apex,Retail,64300.0000
"Apple Valley","Accounting, Banking & Finance",85000.0000
"Apple Valley","Education (Primary/Secondary)",53000.0000
Appleton,"Education (Higher Education)",46500.0000
Appleton,"Engineering or Manufacturing",80000.0000
Appleton,Nonprofits,72500.0000
Appleton,"Social Work",50000.0000
"Appleton ","Accounting, Banking & Finance",62000.0000
"Appleton ","Health care",64105.0000
"Appleton ","Social Work",52400.0000
Arden,Sales,40300.0000
Ardrossan,"Education (Primary/Secondary)",47000.0000
århus,"Computing or Tech",64000.0000
Arkadelphia,Law,35000.0000
Arles,"Education (Primary/Secondary)",34000.0000
Arlington,"Accounting, Banking & Finance",119500.0000
Arlington,"Business or Consulting",106750.0000
Arlington,"Communication Research",90456.0000
Arlington,"Computing or Tech",147016.1667
Arlington,"Education (Primary/Secondary)",58000.0000
Arlington,"Engineering or Manufacturing",98500.0000
Arlington,"Government and Public Administration",120847.4545
Arlington,"Government contracting",68000.0000
Arlington,"Health care",113000.0000
Arlington,"Healthcare technology ",83900.0000
arlington,Insurance,60000.0000
Arlington,Law,163000.0000
Arlington,"Market Research",70000.0000
Arlington,"Marketing, Advertising & PR",72000.0000
Arlington,"Media & Digital",94600.0000
Arlington,Nonprofits,77528.3333
Arlington,"Political Research",40000.0000
Arlington,"Religious institution",54080.0000
Arlington,"Think tank",90280.0000
Arlington,"Transport or Logistics",57340.0000
Arlington,"Utilities & Telecommunications",112400.0000
"Arlington ","Business or Consulting",108850.0000
"Arlington ","Computing or Tech",172500.0000
"Arlington ","Government and Public Administration",96000.0000
"Arlington ",Law,171912.0000
"Arlington ","Oil and Gas",350000.0000
"Arlington ","Recruitment or HR",130000.0000
"Arlington ","Utilities & Telecommunications",102000.0000
"Arlington Heights","Accounting, Banking & Finance",60000.0000
"Arlington Heights","Business or Consulting",40000.0000
"Arlington Heights","Public safety ",82550.0000
"Arlington, VA","Computing or Tech",125000.0000
"Arlington, VA (Washington D.C. metro area)","Media & Digital",58000.0000
Arnold,"Education (Higher Education)",80000.0000
"Arroyo Grande","Accounting, Banking & Finance",75000.0000
"Arroyo Grande","Marketing, Advertising & PR",50000.0000
Arvada,Biotechnology,82000.0000
"Arvada ","Recruitment or HR",107000.0000
"Asbury Park","Media & Digital",73000.0000
Ashburn,"Government and Public Administration",86500.0000
"Ashburn ","Art & Design",54000.0000
"Ashburn ","Computing or Tech",120000.0000
Asheboro,"Education (Primary/Secondary)",54000.0000
Asheville,"Accounting, Banking & Finance",200000.0000
Asheville,"Art & Design",63000.0000
Asheville,"Computing or Tech",115250.0000
Asheville,"Education (Higher Education)",145000.0000
Asheville,"Engineering or Manufacturing",80000.0000
Asheville,"Government and Public Administration",71000.0000
Asheville,"Health care",90000.0000
Asheville,Retail,26000.0000
"Asheville ","Computing or Tech",100000.0000
"Asheville ",Nonprofits,35211.0000
"Asheville ","Property or Construction",95000.0000
"Asheville ",Science,76000.0000
"Asheville, NC","Business or Consulting",51000.0000
"Ashford ","Engineering or Manufacturing",23000.0000
Ashland,"Accounting, Banking & Finance",106600.0000
Ashland,"Computing or Tech",200000.0000
Ashland,"Health care",43680.0000
Ashland,Insurance,27000.0000
Ashland,Manufacturing,60800.0000
Ashland,"Wholesale - Apparel",90000.0000
Asmara,"Government and Public Administration",98000.0000
Aspen,"Hospitality & Events",107000.0000
Aspen,"Property or Construction",65000.0000
aston,manufacturing,70000.0000
Athens,"Accounting, Banking & Finance",80530.0000
Athens,"Computing or Tech",46000.0000
Athens,"Education (Higher Education)",54299.6667
Athens,"Government and Public Administration",34000.0000
Athens,"Health care",43680.0000
Athens,"Property or Construction",67500.0000
Athens,"Public Library",40000.0000
"Athens ","Education (Higher Education)",64000.0000
Athlone,"Marketing, Advertising & PR",45000.0000
Athol,Nonprofits,42500.0000
AtlantA,"Accounting, Banking & Finance",125495.2381
Atlanta,"Art & Design",70800.0000
Atlanta,"Business or Consulting",96296.8500
Atlanta,"College Athletics",37500.0000
Atlanta,"Commercial Real Estate",75000.0000
Atlanta,"Computing or Tech",119546.7045
Atlanta,CPG,68000.0000
atlanta,"Education (Higher Education)",67531.4286
Atlanta,"Education (Primary/Secondary)",56340.0000
Atlanta,"Engineering or Manufacturing",119537.3333
Atlanta,Entertainment,87000.0000
Atlanta,"Environmental Consulting",105000.0000
Atlanta,"Government and Public Administration",93040.2500
Atlanta,"Graduate Student",2350.0000
Atlanta,"Health care",96396.9231
Atlanta,"Hospitality & Events",133333.3333
Atlanta,"Human Capital Management",108000.0000
Atlanta,Insurance,91878.3333
atlanta,"Interior Design (commercial)",40000.0000
Atlanta,Law,141050.0000
Atlanta,"Libraries / Archives / Information",51000.0000
Atlanta,"Marketing, Advertising & PR",96237.5000
Atlanta,"Media & Digital",86000.0000
Atlanta,Nonprofits,61421.8750
Atlanta,Politics/campaigns,72000.0000
Atlanta,"Private Equity",75000.0000
Atlanta,"Property or Construction",62706.7500
Atlanta,"Public Health",63000.0000
Atlanta,"Public health ",55000.0000
Atlanta,"Real Estate",135000.0000
Atlanta,"Recruitment or HR",66226.2857
Atlanta,Restaurant,15080.0000
Atlanta,Retail,60206.0000
Atlanta,Sales,65320.0000
Atlanta,Science,65000.0000
Atlanta,"Social Work",72000.0000
Atlanta,"Transport or Logistics",84583.3333
Atlanta,"Utilities & Telecommunications",90666.6667
Atlanta,"Virtual reality",55000.0000
Atlanta,"Wholesale Industrial & Welding Supplies & Equipment",50000.0000
"Atlanta ","Accounting, Banking & Finance",87000.0000
"Atlanta ","Agriculture or Forestry",10500.0000
"Atlanta ","Brain research ",28000.0000
"Atlanta ","Business or Consulting",118968.5000
"Atlanta ","Computing or Tech",120333.3333
"Atlanta ","Education (Primary/Secondary)",46813.0000
"Atlanta ","Engineering or Manufacturing",86500.0000
"Atlanta ","Health care",70000.0000
"Atlanta ","Hospitality & Events",92000.0000
"Atlanta ",Insurance,69000.0000
"Atlanta ",Law,87500.0000
"Atlanta ","Marketing, Advertising & PR",153000.0000
"Atlanta ","Media & Digital",70000.0000
"Atlanta ","Medical/Pharmaceutical ",220000.0000
"Atlanta ",Nonprofits,45000.0000
"Atlanta ","Property or Construction",60500.0000
"Atlanta ","Recruitment or HR",42500.0000
"Atlanta ","Utilities & Telecommunications",95000.0000
"Atlanta Metro","Education (Higher Education)",62000.0000
"Atlanta metro area","Education (Higher Education)",44000.0000
"Atlanta metro area","Government and Public Administration",69500.0000
"Atlanta metro area","Health care",124000.0000
"Atlanta metro area","Marketing, Advertising & PR",69500.0000
"Atlanta suburb","Government and Public Administration",91000.0000
"Atlanta, Georgia","Engineering or Manufacturing",63000.0000
Atlanta/Decatur,"Education (Higher Education)",46040.0000
"Atlantic City","Government and Public Administration",58000.0000
"Atlantic City","Government contractor",62000.0000
"Atlantic City","Public Libraries",47700.0000
Attleboro,"Education (Primary/Secondary)",67000.0000
Attleboro,Sales,65000.0000
Auburn,"Accounting, Banking & Finance",108250.0000
Auburn,"Computing or Tech",29120.0000
Auburn,"Education (Higher Education)",76350.0000
Auburn,"Hospitality & Events",90000.0000
"Auburn Hills",Sales,55000.0000
Auckland,"Accounting, Banking & Finance",162800.0000
Auckland,"Art & Design",100000.0000
Auckland,"Business or Consulting",205000.0000
Auckland,"Computing or Tech",169937.5000
Auckland,"Education (Higher Education)",115000.0000
Auckland,"Education (Primary/Secondary)",60000.0000
Auckland,"Engineering or Manufacturing",69000.0000
Auckland,"Government and Public Administration",84000.0000
Auckland,Insurance,115500.0000
Auckland,Law,132500.0000
Auckland,"Market research",34000.0000
Auckland,"Marketing, Advertising & PR",122000.0000
Auckland,"Property or Construction",92000.0000
Auckland,"Transport or Logistics",92000.0000
Auckland,"Utilities & Telecommunications",121000.0000
"Auckland ",Law,160000.0000
"Auckland ","Leisure, Sport & Tourism",56000.0000
"Auckland ","Manufacturing ",120000.0000
Augusta,"Agriculture or Forestry",91000.0000
Augusta,"Computing or Tech",51000.0000
Augusta,"Education (Higher Education)",120000.0000
Augusta,"Engineering or Manufacturing",74500.0000
Augusta,"Government and Public Administration",67969.5000
Augusta,"Health care",68640.0000
Augusta,Insurance,86000.0000
Augusta,Nonprofits,50000.0000
Augusta,"Transport or Logistics",78000.0000
"Augusta ","Animal Care",32000.0000
"Augusta ","Computing or Tech",62000.0000
"Augusta - remote","Computing or Tech",110000.0000
"Augusta IL","Health care",24900.0000
Aurora,"Computing or Tech",167000.0000
