JobTitle,Experience_Level,Total_Compensation
Biologist,"8 - 10 years",191000
"Biologist ","11 - 20 years",110500
"Biology Instructor","2 - 4 years",77929
"Biomedical Engineer","8 - 10 years",144000
"Biomedical engineering technologist","2 - 4 years",73000
"Biomedical Equipment Technician Senior","11 - 20 years",80000
"Biomedical Scientist","5-7 years",35300
"Bioprocess Associate","5-7 years",65000
"Bioprocess Engineer","2 - 4 years",85591
"Biosafety officer/Medical Lab Scientist","11 - 20 years",115000
Biostatistician,"21 - 30 years",244900
Biostatistician,"5-7 years",90000
Biostatistician,"8 - 10 years",72200
"Biostatistician I","2 - 4 years",100000
"Blending Engineer ","8 - 10 years",119000
"Blind Rehabilitation Specialist ","21 - 30 years",83000
"Board certified physician ","21 - 30 years",145000
"Bond Analyst","21 - 30 years",300000
"Book Designer","2 - 4 years",49000
"Book shelver","11 - 20 years",35000
Bookkeeper,"11 - 20 years",251840
Bookkeeper,"2 - 4 years",35360
Bookkeeper,"21 - 30 years",180000
Bookkeeper,"31 - 40 years",41000
Bookkeeper,"8 - 10 years",173540
"Bookkeeper ","21 - 30 years",57500
"Bookkeeper ","8 - 10 years",60570
"Bookkeeper and office Assistant","31 - 40 years",50700
"Bookkeeper and Payroll Specialist","11 - 20 years",104000
"Bookkeeper self-employed","21 - 30 years",114400
"Bookkeeper/Billing Manager","11 - 20 years",52000
"Bookkeeper/HR Manager","21 - 30 years",57200
"Bookkeeper/Office Administrator","21 - 30 years",52500
"Bookkeeper/Office Manager","31 - 40 years",64900
Bookkeeping,"5-7 years",40360
Bookseller,"5-7 years",28000
Bookseller,"8 - 10 years",18500
"Bookseller ","11 - 20 years",36000
"Bookstore Buyer","5-7 years",49000
Botanist,"8 - 10 years",68000
"Boutique assistant ","8 - 10 years",48000
"Box office & Admin manager","21 - 30 years",23000
"Branch Chief","21 - 30 years",117000
"Branch Chief","31 - 40 years",138000
"Branch Chief ","11 - 20 years",127000
"Branch Librarian","21 - 30 years",61589
"Branch Librarian ","21 - 30 years",48000
"Branch Library Manager","11 - 20 years",58000
"Branch Manager","11 - 20 years",715217
"branch manager","21 - 30 years",433000
"Branch Manager","41 years or more",55000
"Branch Manager","5-7 years",48000
"Branch manager","8 - 10 years",205330
"Branch Managwr","31 - 40 years",184500
"Branch Operations Coordinator ","5-7 years",41360
"Branch Youth Services Librarian","11 - 20 years",62000
"Brand Advertising Manager","5-7 years",300000
"Brand and campaigns officer","11 - 20 years",82400
"Brand and Digital Specialist","11 - 20 years",90000
"Brand Communications Manager","11 - 20 years",118000
"Brand Consultant","11 - 20 years",400000
"Brand content specialist","11 - 20 years",76195
"Brand Director","11 - 20 years",253200
"Brand Management","5-7 years",130000
"Brand Manager","11 - 20 years",541000
"Brand Manager","2 - 4 years",60000
"brand manager","21 - 30 years",60000
"Brand manager","5-7 years",274125
"Brand Manager","8 - 10 years",100000
"brand manager ","5-7 years",126500
"Brand manager ","8 - 10 years",132500
"Brand Marketing Manager","11 - 20 years",163352
"Brand Marketing Manager","2 - 4 years",98300
"Brand Marketing Manager","8 - 10 years",110000
"Brand Specialist","11 - 20 years",73000
"Brand Strategist","5-7 years",53000
"Brand Strategist","8 - 10 years",70000
"Brand supervisor ","11 - 20 years",20675
"Branded Content Editor","5-7 years",71000
"Branding Director","21 - 30 years",130000
"Breastfeeding Promotion Coordinator","8 - 10 years",43000
Brewer,"11 - 20 years",21000
Brewmaster,"11 - 20 years",62600
"Broadcast Engineer","41 years or more",45000
"Broadcast Journalist ","8 - 10 years",40000
"Broadcast Operations Supervisor","5-7 years",79100
"Broadway wardrobe - Dresser","11 - 20 years",93000
Broker,"5-7 years",145000
"Brokerage Services Associate","21 - 30 years",51210
"BSA/AML/OFAC Admin","8 - 10 years",35000
"Budget analyst","11 - 20 years",244000
"Budget Analyst","2 - 4 years",128973
"Budget Analyst","5-7 years",80600
"Budget Analyst","8 - 10 years",292500
"Budget Analyst ","11 - 20 years",87500
"Budget and Policy Analyst","8 - 10 years",104000
"Budget Coordinator","11 - 20 years",126000
"Budget director","11 - 20 years",176000
"Budget Manager","11 - 20 years",104000
"Budget Manager","31 - 40 years",94000
"Budget Manager ","11 - 20 years",78750
"Building Code Consultant","5-7 years",83000
bum,"41 years or more",10000299
"Bureau chief","31 - 40 years",125000
"Bureau chief","5-7 years",74000
"Bureau director","21 - 30 years",106000
"Bus Driver","11 - 20 years",18000
"Business Administration Assistant ","21 - 30 years",20019
"Business Administration Management","5-7 years",76000
"Business Administrator","2 - 4 years",59200
"Business Administrator","8 - 10 years",57878
"Business Analust","5-7 years",87500
"Business Analysis Manager ","21 - 30 years",72000
"Business Analyst","1 year or less",252649
"Business Analyst","11 - 20 years",1191750
"Business Analyst","2 - 4 years",851440
"Business Analyst","21 - 30 years",573000
"Business Analyst","31 - 40 years",293200
"Business Analyst","5-7 years",617900
"Business Analyst","8 - 10 years",1235156
"Business Analyst ","1 year or less",89149
"Business Analyst ","11 - 20 years",74450
"Business Analyst ","2 - 4 years",35360
"Business analyst ","31 - 40 years",87300
"Business Analyst ","5-7 years",340800
"Business Analyst (Operations)","21 - 30 years",93000
"Business Analyst 1","2 - 4 years",62000
"Business Analyst FP&A","5-7 years",73700
"Business Analyst I","21 - 30 years",66000
"Business Analyst III","11 - 20 years",76000
"Business analyst-intermediate","5-7 years",78500
"Business Analyst-Specialist","11 - 20 years",118000
"Business Analyst, Enterprise Data Governance","11 - 20 years",99500
"Business Analytics Manager","5-7 years",95000
"Business Analytics Specialist","5-7 years",127000
"Business Anayst","5-7 years",45000
"Business and Governance Lead","11 - 20 years",45000
"Business and Industry Specialist","5-7 years",103690
"Business Application Expert","11 - 20 years",124000
"Business Applications Delivery Manager","5-7 years",125161
"Business Architect","11 - 20 years",188434
"Business Conduct Specialist ","11 - 20 years",71000
"Business Consultant","8 - 10 years",209000
"Business Continuity Analyst","1 year or less",47000
"Business Continuity Analyst","8 - 10 years",58000
"Business Control Analyst ","21 - 30 years",99400
"Business Control Specialist","5-7 years",48000
"Business Controls Analyst ","11 - 20 years",61500
"Business Coordinator","11 - 20 years",56000
"Business design consultant","8 - 10 years",142000
"Business Design Consultant ","8 - 10 years",137000
"Business Development","11 - 20 years",169000
"Business development ","11 - 20 years",281000
"Business Development & Service Manager","8 - 10 years",63000
"Business Development Analyst","2 - 4 years",54000
"Business Development Director","21 - 30 years",207000
"Business Development Director","5-7 years",141000
"Business Development Director","8 - 10 years",80000
"Business Development Manager","1 year or less",56450
"Business development manager","11 - 20 years",497200
"Business Development Manager","2 - 4 years",42000
"Business Development manager","21 - 30 years",190000
"Business Development Manager","5-7 years",403340
"Business Development Manager","8 - 10 years",638500
"Business Development Manager ","8 - 10 years",170000
"Business Development Operations Director","11 - 20 years",125000
"Business Development Representative","8 - 10 years",60000
"Business Development Representative ","5-7 years",80000
"Business Development Specialist","8 - 10 years",69000
"Business Education Teacher-Private School","11 - 20 years",34500
"Business Immigration Consultant","5-7 years",77000
"Business Immigration Paralegal","2 - 4 years",58000
"Business Informaticist","8 - 10 years",68000
"Business Intelligence Analyst","1 year or less",76730
"Business Intelligence Analyst","11 - 20 years",138600
"Business Intelligence Analyst","2 - 4 years",106850
"Business Intelligence Analyst","21 - 30 years",104800
"Business Intelligence Analyst","31 - 40 years",105300
"Business Intelligence Analyst","5-7 years",148924
"Business Intelligence Analyst","8 - 10 years",70000
"Business Intelligence Analyst / Team Lead","31 - 40 years",120000
"Business Intelligence assistant ","8 - 10 years",22300
"Business Intelligence Associate","5-7 years",47500
"Business Intelligence developer","1 year or less",65000
"Business Intelligence Developer","11 - 20 years",139703
"business intelligence developer","8 - 10 years",104000
"Business Intelligence Engineer","11 - 20 years",203000
"Business Intelligence Engineer","8 - 10 years",185400
"Business intelligence lead","8 - 10 years",72000
"Business Intelligence Manager","11 - 20 years",185000
"Business Intelligence Manager","8 - 10 years",170000
"Business Intelligence Specialist","8 - 10 years",75000
"Business Intelligence Team Lead","5-7 years",120000
"Business lead ","5-7 years",345000
"Business Liaison Consultant 3","8 - 10 years",120000
"Business Librarian","5-7 years",43560
"Business Management Support","8 - 10 years",26350
"Business Manager","11 - 20 years",135700
"Business manager","2 - 4 years",140000
"Business Manager","21 - 30 years",429000
"Business Manager","5-7 years",171000
"Business Manager","8 - 10 years",87000
"Business Office Coordinator","2 - 4 years",41000
"Business Office Manager","2 - 4 years",62000
"Business Office Manager","8 - 10 years",52000
"Business Operations","11 - 20 years",82000
"Business Operations","5-7 years",298000
"Business Operations (Data Analyst)","8 - 10 years",122000
"Business operations administrator ","11 - 20 years",44000
"Business operations analyst","8 - 10 years",130400
"Business operations associate","2 - 4 years",110000
"Business Operations Coordinator ","11 - 20 years",59445
"Business Operations Manager","11 - 20 years",162428
"Business Operations Manager","8 - 10 years",177201
"Business operations manager ","2 - 4 years",72500
"Business Ops Analyst","5-7 years",79500
"Business Owner","11 - 20 years",186000
"Business planning ","5-7 years",95000
"Business Planning Manager","21 - 30 years",47000
"Business Process Consultant Logistics","11 - 20 years",77700
"Business Process Specialist","11 - 20 years",59780
"Business Program Manager","5-7 years",156000
"Business Risk Manager","31 - 40 years",155000
"Business Science and Chemistry Teaching Fellow","11 - 20 years",39400
"Business Service Coordinator","41 years or more",57400
"Business Services Supervisor","31 - 40 years",85600
"Business Software Analyst III","11 - 20 years",100000
"Business solutions analyst","2 - 4 years",63600
"Business Strategy Manager","5-7 years",160000
"Business Support","11 - 20 years",34000
"Business support analyst","31 - 40 years",68409
"Business Support Associate","8 - 10 years",45037
"Business Support Consultant","2 - 4 years",54000
"Business Support Consultant","21 - 30 years",67300
"Business Support Consultant 5","11 - 20 years",147835
"Business Support Manager","11 - 20 years",82375
"Business Support officer","8 - 10 years",40000
"Business Systems Administrator","21 - 30 years",67000
"Business Systems Analyst","11 - 20 years",726524
"Business systems analyst","2 - 4 years",136000
"Business Systems Analyst","21 - 30 years",85634
"Business systems analyst","5-7 years",151400
"Business Systems Analyst","8 - 10 years",184000
"Business Systems Analyst ","8 - 10 years",64000
"Business Systems Analyst II","8 - 10 years",93561
"Business Systems Analyst III","11 - 20 years",958000
"Business Systems Analyst III","21 - 30 years",108000
"Business Systems Manager","21 - 30 years",135000
"Business Systems Manager ","21 - 30 years",121000
"Business Technology Analyst","2 - 4 years",65500
"Business Technology Liaison ","8 - 10 years",51600
"Business Unit Controller","11 - 20 years",175000
"Businesses analyst manager ","8 - 10 years",135000
"Businesses development and communications coordinator ","5-7 years",48000
"Bussiness assistant","8 - 10 years",242567
Buyer,"11 - 20 years",230000
Buyer,"2 - 4 years",59150
Buyer,"21 - 30 years",54500
Buyer,"31 - 40 years",48500
Buyer,"5-7 years",400500
Buyer,"8 - 10 years",272050
"Buyer II","11 - 20 years",52000
"Bylaw Enforcement Officer","8 - 10 years",76500
"C# developer","21 - 30 years",46000
"CAD Design Manager","21 - 30 years",110000
"CAD designer","31 - 40 years",48000
"CAD Drafter","11 - 20 years",49924
"CAD Manager","21 - 30 years",80500
"CAD Technical Lead","11 - 20 years",26500
"CAD Technician","5-7 years",49720
"CAD Technician (senior)","31 - 40 years",68000
"Cake Decorator","11 - 20 years",97000
"calculation engineer","11 - 20 years",67000
"Call Center Operator (Customer Service)","5-7 years",33300
"Call Center Supervisor","5-7 years",53627
"Camera Hardware Engineer","5-7 years",215000
"Camp Director","5-7 years",47000
"Campaign Analyst","11 - 20 years",77000
"Campaign and Program Manager ","5-7 years",70680
"Campaign Development Specialist ","2 - 4 years",39000
"Campaign management ","5-7 years",76500
"Campaign Manager","11 - 20 years",235500
"Campaign Manager","2 - 4 years",68000
"Campaign Manager","5-7 years",234000
"Campaign Manager","8 - 10 years",52000
"Campaign Organizer","1 year or less",42000
"Campaign Specialist","11 - 20 years",75000
"Campus Career Center Manager","11 - 20 years",52798
"Campus planning project manager","21 - 30 years",72000
"Campus Recruiting Coordinator","5-7 years",64000
"Cancer Registry Supervisor","11 - 20 years",70054
"Candidate Experience Specialist","8 - 10 years",70000
"Candidate Research Associate","21 - 30 years",73000
"Capability program manager","8 - 10 years",52000
"Capacity Coordinator","11 - 20 years",60500
"Capital Markets Specialist","1 year or less",43680
"care assistant ","8 - 10 years",16286
"Care manager","11 - 20 years",47200
"Care manager","8 - 10 years",54000
"Care Professional","11 - 20 years",33280
"Care Worker","5-7 years",28000
"Career Advisor","11 - 20 years",44000
"Career Advisor","2 - 4 years",38500
"Career Advisor","8 - 10 years",71000
"Career associate attorney ","8 - 10 years",304000
"Career Coach","8 - 10 years",45000
"Career Counselor","11 - 20 years",76000
"Career Counselor","5-7 years",40600
"Career Law Clerk","11 - 20 years",119600
"Career Manager ","11 - 20 years",128000
"Career Navigator","11 - 20 years",47300
"Career Resource Specialist","8 - 10 years",64120
"Career Specialist","11 - 20 years",46000
"Careers Adviser","8 - 10 years",26000
"Careers Consultant","11 - 20 years",39000
"Careers Consultant","8 - 10 years",49500
Caregiver,"8 - 10 years",23800
Carpenter,"8 - 10 years",48000
cartoonist,"5-7 years",18000
"Case Coordinator","11 - 20 years",41000
"Case Investigator","1 year or less",98000
"Case Management Program Manager","11 - 20 years",69500
"case manager","1 year or less",52000
"case manager","11 - 20 years",241500
"Case manager","2 - 4 years",217900
"Case manager","5-7 years",223560
"Case Manager","8 - 10 years",222780
"Case Officer","11 - 20 years",80000
"Case worker","1 year or less",37274
Caseworker,"8 - 10 years",34112
"Cash App Officer","2 - 4 years",38000
"Cash apps supervisor","11 - 20 years",65400
"Cash Control Area Manager","11 - 20 years",70000
"Cash Logistics Manager","11 - 20 years",63500
"Cash Posting","21 - 30 years",40500
Cashier,"2 - 4 years",44080
Cashier,"21 - 30 years",27000
"Cashier ","1 year or less",20000
"Cashier ","2 - 4 years",22000
"Cashier ","21 - 30 years",52000
"Cashier (Aldi)","5-7 years",29200
"Cashier Assistant","8 - 10 years",18300
Cashier/Clerk,"1 year or less",18720
"Casino Marketing Executive ","11 - 20 years",105000
"Cat accident claims handler","21 - 30 years",35000
"Cataloger ","11 - 20 years",42000
"Cataloging Librarian","11 - 20 years",156000
Cataloguer,"1 year or less",20000
"Category Buyer","11 - 20 years",132000
"Category Lead","11 - 20 years",103500
"Category Management Specialist","11 - 20 years",112000
"Category Manager","11 - 20 years",130000
"Category Manager","21 - 30 years",103500
"Category Manager","8 - 10 years",139000
"Category manager ","11 - 20 years",150000
"Catering Assistant","2 - 4 years",18000
"CBAT Social Worker","5-7 years",60000
"CBT Therapist","1 year or less",38890
CCO,"11 - 20 years",135000
"CE Expert","21 - 30 years",40000
"Central Reference Manager ","11 - 20 years",61157
"Centre Director","11 - 20 years",30500
"Centre Facilitator","5-7 years",17000
CEO,"11 - 20 years",1662000
CEO,"21 - 30 years",873000
CEO,"31 - 40 years",682000
CEO,"8 - 10 years",311000
"Ceo ","11 - 20 years",177000
"CEO/Exec Director ","21 - 30 years",90000
CEO/President,"21 - 30 years",113500
"Ceramic Artist","11 - 20 years",300000
"Ceramics Teaching Assistant","11 - 20 years",35360
"Certification / Documentation Specialist","5-7 years",40000
"Certification engineer","1 year or less",47000
"Certification Manager","11 - 20 years",58000
"Certified Anesthesiologist Assistant ","1 year or less",165000
"Certified Coder","21 - 30 years",45000
"Certified Coder ","21 - 30 years",44600
"Certified Financial Planner","5-7 years",216000
"Certified Inpatient Coder","8 - 10 years",64184
"Certified Nurse Midwife","5-7 years",115000
"Certified Optical Supervisor","5-7 years",56745
"Certified Paralegal","8 - 10 years",35840
"Certified Pharmacy Technician","21 - 30 years",58000
"Certified Pharmacy Technician","8 - 10 years",64000
"certified prosthetic and orthotic assistant.","31 - 40 years",57000
"Certified prosthetist orthotist","11 - 20 years",79250
"CERTIFIED PUBLIC ACCOUNTANT","11 - 20 years",115000
"Certified Registered Nurse Anesthetist ","8 - 10 years",172500
"Certified veterinary technician","11 - 20 years",48000
CFO,"11 - 20 years",420000
CFO,"21 - 30 years",340009
CFO,"31 - 40 years",658400
CFO/COO,"11 - 20 years",323000
"CGI Animator / Digital Artist","8 - 10 years",55000
"Change & Internal Communications Manager","8 - 10 years",58600
"Change Management Director","11 - 20 years",200000
"Change Manager","11 - 20 years",260100
"Change Manager","2 - 4 years",30500
"Channel Development Manager","8 - 10 years",86500
"Channel Marketing","11 - 20 years",192000
"Channel Marketing Specialist","2 - 4 years",72500
Chaplain,"11 - 20 years",50000
"Chapter Lead Backend Development","11 - 20 years",90000
"Chapters & Conferences Liaison","21 - 30 years",57000
"character artist","11 - 20 years",127000
"Charge Nurse","11 - 20 years",64000
"Charge nurse","5-7 years",165400
"Chartered Accountant","8 - 10 years",36000
"Chartered accountant ","21 - 30 years",59000
"Chartered accountant (manager)","8 - 10 years",97000
"Chassis Maintainer","11 - 20 years",66850
Cheesemonger,"11 - 20 years",52000
Chef,"1 year or less",50000
"Chef and Recipe Developer","8 - 10 years",90750
"Chemical Engineer","1 year or less",61000
"Chemical Engineer","2 - 4 years",97000
"Chemical Engineer","5-7 years",97500
"Chemical Technician","11 - 20 years",50113
"Chemical Technician II ","11 - 20 years",59000
Chemist,"11 - 20 years",257282
Chemist,"2 - 4 years",59535
Chemist,"5-7 years",156000
Chemist,"8 - 10 years",176486
"Chemist ","11 - 20 years",119000
"Chemist IV","31 - 40 years",56000
"Chemistry Laboratory Specialist","5-7 years",46040
"Chemistry PhD student","5-7 years",35000
"Chief Accountant","11 - 20 years",78000
"Chief Advancement Officer","21 - 30 years",440000
"Chief Commercial Officer","21 - 30 years",86000
"Chief Compliance Officer","21 - 30 years",130000
"Chief compliance officer","5-7 years",62000
"Chief Compliance Officer/Operations Manager","31 - 40 years",127000
"Chief Counsel","21 - 30 years",432000
"Chief Counsel","31 - 40 years",256300
"Chief Data Scientist","5-7 years",340
"Chief Data Scientist","8 - 10 years",130
"Chief Deputy Director","21 - 30 years",187000
"Chief Development Officer","11 - 20 years",210000
"Chief Digital and Information Officer","31 - 40 years",130000
"Chief Engineer","21 - 30 years",381000
"Chief Engineer","31 - 40 years",95000
"Chief Executive Officer","11 - 20 years",280000
"Chief External Affairs Officer","21 - 30 years",87500
"Chief Financial Officer","11 - 20 years",566500
"Chief Fiscal Officer","11 - 20 years",53
"Chief HR Officer","11 - 20 years",150000
"Chief Information Officer","11 - 20 years",200000
"Chief Information Officer","21 - 30 years",135000
"Chief Information Officer","31 - 40 years",269000
"Chief Information Security Officer","21 - 30 years",165000
"Chief Intellectual Property Counsel","21 - 30 years",237000
"Chief Legal Counsel","11 - 20 years",76350
"Chief Marketing and Development Officer","11 - 20 years",130000
"Chief Marketing Officer","11 - 20 years",145000
"Chief Marketing Officer","21 - 30 years",505000
"Chief Metallurgist","11 - 20 years",155000
"Chief of Communications","21 - 30 years",111000
"Chief of Operations, University Development","21 - 30 years",134000
"Chief of Pathology","21 - 30 years",420000
"Chief of Staff","11 - 20 years",1860000
"Chief of Staff","21 - 30 years",185000
"Chief of Staff","5-7 years",265800
"Chief of Staff","8 - 10 years",496400
"Chief of Staff ","11 - 20 years",201000
"Chief Of Staff ","21 - 30 years",184800
"Chief of staff ","8 - 10 years",85000
"Chief of Staff (to a university senior administrator)","11 - 20 years",80000
"Chief of Staff, Customer Experience","21 - 30 years",259000
"Chief Operating Officer","11 - 20 years",784500
"Chief Operating Officer","31 - 40 years",98600
"Chief Operations Officer","11 - 20 years",102000
"Chief Operations Officer","8 - 10 years",180000
"Chief People Officer","11 - 20 years",321759
"Chief Privacy Officer/Counsel","11 - 20 years",260000
"Chief Product Officer","21 - 30 years",598000
"Chief Programs Officer","11 - 20 years",120000
"Chief Risk Officer","11 - 20 years",225000
"Chief Risk Officer","21 - 30 years",195000
"Chief Strategy Officer","11 - 20 years",125000
"Chief Talent Officer","11 - 20 years",182000
"Chief Technologist","21 - 30 years",174000
"Chief Technology Officer","11 - 20 years",335000
"Chief technology officer","21 - 30 years",520000
"Chief technology officer ","5-7 years",107000
"Chief X Officer","21 - 30 years",900000
"Child and Adolescent psychologist ","2 - 4 years",91000
"Child Care Center Licensor","8 - 10 years",68000
"Child Protective Services Case Worker","5-7 years",75000
"Child Support Specialist","11 - 20 years",43974
"Child welfare specialist IV","5-7 years",50000
"Childcare Worker","21 - 30 years",33800
childminder,"5-7 years",19000
"Children's Librarian","11 - 20 years",39000
"Children's Librarian","8 - 10 years",77000
"Children's Services Coordinator","11 - 20 years",81916
"Children's Services Librarian","11 - 20 years",55250
"Children's Supervisor","8 - 10 years",65000
"Childrenâ€™s Ministry Director ","8 - 10 years",42000
"Childrenâ€™s Pastor ","5-7 years",36600
"Childrens projects manager","5-7 years",31500
"Chiropractic Assistant","8 - 10 years",29120
"Chiropractic Assistant/Front Desk","1 year or less",22300
"CHRO ","21 - 30 years",80000
"Church Administrator","11 - 20 years",37500
CIO,"21 - 30 years",224000
"Circulation Coordinator","2 - 4 years",43750
"Circulation Specialist","5-7 years",31200
"Circulation Supervisor","8 - 10 years",65984
CISO,"21 - 30 years",225000
"City Clerk","11 - 20 years",54250
"City Planner","8 - 10 years",158000
"city planner ","21 - 30 years",99000
"City Research Scientist","5-7 years",86000
"City Research Scientist II","5-7 years",87000
"Civic Engagement Manager ","11 - 20 years",72000
"Civil / Environmental Engineer","11 - 20 years",69000
"Civil Designer ","5-7 years",74600
"Civil Engineer","11 - 20 years",398000
